,var_type,owner,var_info,Levels / range,Significance (0-5),missingness,outliers
Id,integer,Theo,,,,,
MSSubClass,integer,Theo,,,,,
MSZoning,character,Theo,,,,,
LotFrontage,character,Theo,,,,,
LotArea,integer,Theo,,,,,
Street,character,Theo,,,,,
Alley,character,Theo,,,,,
LotShape,character,Theo,,,,,
LandContour,character,Theo,,,,,
Utilities,character,Theo,,,,,
LotConfig,character,Theo,,,,,
LandSlope,character,Theo,,,,,
Neighborhood,character,Theo,,,,,
Condition1,character,Theo,,,,,
Condition2,character,Theo,,,,,
BldgType,character,Theo,,,,,
HouseStyle,character,Theo,,,,,
OverallQual,integer,Theo,,,,,
OverallCond,integer,Theo,,,,,
YearBuilt,integer,Theo,,,,,
YearRemodAdd,integer,Iman,Remodel date (same as construction date if no remodeling or additions),,,0,1950 must mean (<= 1950)
RoofStyle,character,Iman,Type of roof,"Flat: Flat, Gable: Gable, Gambrel: Gabrel (Barn), Hip: Hip, Mansard: Mansard, Shed: Shed",,0,"Flat 13, Gambrel 11, Mansard 7, Shed 2"
RoofMatl,character,Iman,Roof material,"ClyTile: Clay or Tile, CompShg: Standard (Composite) Shingle, Membran: Membrane, Metal: Metal, Roll: Roll, Tar&Grv: Gravel & Tar, WdShake: Wood Shakes, WdShngl: Wood Shingles",,0,"ClyTile 1, Membran 1, Metal 1, Roll 1, Tar&Grv 11, WdShake 5, WdShngl 6"
Exterior1st,character,Iman,Exterior covering on house,"AsbShng: Asbestos Shingles, AsphShn :Asphalt Shingles, BrkComm: Brick Common, BrkFace: Brick Face, CBlock: Cinder Block, CemntBd: Cement Board, HdBoard: Hard Board, ImStucc: Imitation Stucco, MetalSd: Metal Siding, Other: Other, Plywood: Plywood, PreCast PreCast, Stone: Stone, Stucco: Stucco, VinylSd: Vinyl Siding, Wd Sdng: Wood Siding, WdShing: Wood Shingles",,0,"AsbShg 20, AsphShn 1, BrkComm 2, Cblock 1, ImStucc 1, Stone 2, Stucco 25, WdShing 26"
Exterior2nd,character,Iman,Exterior covering on house (if more than one material),"AsbShng: Asbestos Shingles, AsphShn :Asphalt Shingles, BrkComm: Brick Common, BrkFace: Brick Face, CBlock: Cinder Block, CemntBd: Cement Board, HdBoard: Hard Board, ImStucc: Imitation Stucco, MetalSd: Metal Siding, Other: Other, Plywood: Plywood, PreCast PreCast, Stone: Stone, Stucco: Stucco, VinylSd: Vinyl Siding, Wd Sdng: Wood Siding, WdShing: Wood Shingles",,0,"AsbShng 20, AsphShn 3, BrkCmn 7, Cblock 1, Other 1, Stone 5, Stucco 26"
