"MSZoning","Neighborhood","HouseStyle","OverallQual","YearBuilt","ExterQual","Foundation","BsmtQual","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","TotRmsAbvGrd","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition","SalePrice"
"RL","CollgCr","2Story","7",2003,"Gd","PConc","Gd",856,854,1710,2,8,"RFn",2,548,"TA","TA","Y","WD","Normal",208500
"RL","Veenker","1Story","6",1976,"TA","CBlock","Gd",1262,0,1262,2,6,"RFn",2,460,"TA","TA","Y","WD","Normal",181500
"RL","CollgCr","2Story","7",2001,"Gd","PConc","Gd",920,866,1786,2,6,"RFn",2,608,"TA","TA","Y","WD","Normal",223500
"RL","Crawfor","2Story","7",1915,"TA","BrkTil","TA",961,756,1717,1,7,"Unf",3,642,"TA","TA","Y","WD","Abnorml",140000
"RL","NoRidge","2Story","8",2000,"Gd","PConc","Gd",1145,1053,2198,2,9,"RFn",3,836,"TA","TA","Y","WD","Normal",250000
"RL","Mitchel","1.5Fin","5",1993,"TA","Wood","Gd",796,566,1362,1,5,"Unf",2,480,"TA","TA","Y","WD","Normal",143000
"RL","Somerst","1Story","8",2004,"Gd","PConc","Ex",1694,0,1694,2,7,"RFn",2,636,"TA","TA","Y","WD","Normal",307000
"RL","NWAmes","2Story","7",1973,"TA","CBlock","Gd",1107,983,2090,2,7,"RFn",2,484,"TA","TA","Y","WD","Normal",2e+05
"RM","OldTown","1.5Fin","7",1931,"TA","BrkTil","TA",1022,752,1774,2,8,"Unf",2,468,"Fa","TA","Y","WD","Abnorml",129900
"RL","BrkSide","1.5Unf","5",1939,"TA","BrkTil","TA",1077,0,1077,1,5,"RFn",1,205,"Gd","TA","Y","WD","Normal",118000
"RL","Sawyer","1Story","5",1965,"TA","CBlock","TA",1040,0,1040,1,5,"Unf",1,384,"TA","TA","Y","WD","Normal",129500
"RL","NridgHt","2Story","9",2005,"Ex","PConc","Ex",1182,1142,2324,3,11,"Fin",3,736,"TA","TA","Y","New","Partial",345000
"RL","Sawyer","1Story","5",1962,"TA","CBlock","TA",912,0,912,1,4,"Unf",1,352,"TA","TA","Y","WD","Normal",144000
"RL","CollgCr","1Story","7",2006,"Gd","PConc","Gd",1494,0,1494,2,7,"RFn",3,840,"TA","TA","Y","New","Partial",279500
"RL","NAmes","1Story","6",1960,"TA","CBlock","TA",1253,0,1253,1,5,"RFn",1,352,"TA","TA","Y","WD","Normal",157000
"RM","BrkSide","1.5Unf","7",1929,"TA","BrkTil","TA",854,0,854,1,5,"Unf",2,576,"TA","TA","Y","WD","Normal",132000
"RL","NAmes","1Story","6",1970,"TA","CBlock","TA",1004,0,1004,1,5,"Fin",2,480,"TA","TA","Y","WD","Normal",149000
"RL","Sawyer","1Story","4",1967,"TA","Slab","None",1296,0,1296,2,6,"Unf",2,516,"TA","TA","Y","WD","Normal",90000
"RL","SawyerW","1Story","5",2004,"TA","PConc","TA",1114,0,1114,1,6,"Unf",2,576,"TA","TA","Y","WD","Normal",159000
"RL","NAmes","1Story","5",1958,"TA","CBlock","TA",1339,0,1339,1,6,"Unf",1,294,"TA","TA","Y","COD","Abnorml",139000
"RL","NridgHt","2Story","8",2005,"Gd","PConc","Ex",1158,1218,2376,3,9,"RFn",3,853,"TA","TA","Y","New","Partial",325300
"RM","IDOTRR","1.5Unf","7",1930,"TA","PConc","TA",1108,0,1108,1,6,"Unf",1,280,"TA","TA","None","WD","Normal",139400
"RL","CollgCr","1Story","8",2002,"Gd","PConc","Gd",1795,0,1795,2,7,"RFn",2,534,"TA","TA","Y","WD","Normal",230000
"RM","MeadowV","1Story","5",1976,"TA","PConc","Gd",1060,0,1060,1,6,"Unf",2,572,"TA","TA","Y","WD","Normal",129900
"RL","Sawyer","1Story","5",1968,"TA","CBlock","TA",1060,0,1060,1,6,"Unf",1,270,"TA","TA","Y","WD","Normal",154000
"RL","NridgHt","1Story","8",2007,"Gd","PConc","Gd",1600,0,1600,2,7,"RFn",3,890,"TA","TA","Y","WD","Normal",256300
"RL","NAmes","1Story","5",1951,"TA","CBlock","TA",900,0,900,1,5,"Unf",2,576,"TA","TA","Y","WD","Normal",134800
"RL","NridgHt","1Story","8",2007,"Gd","PConc","Ex",1704,0,1704,2,7,"RFn",3,772,"TA","TA","Y","WD","Normal",306000
"RL","NAmes","1Story","5",1957,"TA","CBlock","TA",1600,0,1600,1,6,"RFn",1,319,"TA","TA","Y","WD","Normal",207500
"RM","BrkSide","1Story","4",1927,"TA","BrkTil","TA",520,0,520,1,4,"Unf",1,240,"Fa","TA","Y","WD","Normal",68500
"C (all)","IDOTRR","2Story","4",1920,"TA","BrkTil","TA",649,668,1317,1,6,"Unf",1,250,"TA","Fa","None","WD","Normal",40000
"RL","Sawyer","1Story","5",1966,"TA","CBlock","TA",1228,0,1228,1,6,"Unf",1,271,"TA","TA","Y","WD","Normal",149350
"RL","CollgCr","1Story","8",2007,"Gd","PConc","Ex",1234,0,1234,2,7,"RFn",2,484,"TA","TA","Y","WD","Normal",179900
